ETL,ETL-2,Perovskite,Perovskite_deposition_procedure,Perovskite_deposition_method,Antisolvent,Precursor_solution,HTL,HTL_additive,Year,PCEbest,Cs,MA,FA,Rb,Pb,Sn,I,Br,Cl,Feature-1,Feature-2,Feature-3,Feature-4,Feature-5,Feature-6,Feature-7,Feature-8,Feature-9,Feature-10,Feature-11,Feature-12,Feature-13,Feature-14,Feature-15,Feature-16,Feature-17,Feature-18,Feature-19,Feature-20,Feature-21,Feature-22,Feature-23,Feature-24,Feature-25,Feature-26,Feature-27,Feature-28,Feature-29,Feature-30,Feature-31,Feature-32,Feature-33,Feature-34,Feature-35,Feature-36,Feature-37,Feature-38,Feature-39,Feature-40,Feature-41,Feature-42,Feature-43,Feature-44,Feature-45,Feature-46,Feature-47,Feature-48,Feature-49,Feature-50,Feature-51,Feature-52,Feature-53,Feature-54,Feature-55,Feature-56,Feature-57,Feature-58,Feature-59,Feature-60,Feature-61,Feature-62,Feature-63,Feature-64,Feature-65,Feature-66,Feature-67,Feature-68,Feature-69,Feature-70,Feature-71,Feature-72,Feature-73,Feature-74,Feature-75,Feature-76,Feature-77,Feature-78,Feature-79,Feature-80,Feature-81,Feature-82,Feature-83,Feature-84,Feature-85,Feature-86,Feature-87,Feature-88,Feature-89,Feature-90,Feature-91,Feature-92,Feature-93,Feature-94,Feature-95,Feature-96,Feature-97,Feature-98,Feature-99,Feature-100,Feature-101,Feature-102,Feature-103,Feature-104,Feature-105,Feature-106,Feature-107,Feature-108,Feature-109,Feature-110,Feature-111,Feature-112,Feature-113,Feature-114,Feature-115,Feature-116,Feature-117,Feature-118,Feature-119,Feature-120,Feature-121,Feature-122,Feature-123,Feature-124,Feature-125,Feature-126,Feature-127,Feature-128,Feature-129,Feature-130,Feature-131,Feature-132,Feature-133,Feature-134,Feature-135,Feature-136,Feature-137,Feature-138,Feature-139,Feature-140,Feature-141,Feature-142,Feature-143,Feature-144,Feature-145,Feature-146,Feature-147,Feature-148,Feature-149,Feature-150,Feature-151,Feature-152,Feature-153,Feature-154,Feature-155,Feature-156,Feature-157,Feature-158,Feature-159,Feature-160,Feature-161,Feature-162,Feature-163,Feature-164,Feature-165,Feature-166,Feature-167,Feature-168,Feature-169,Feature-170,Feature-171,Feature-172,Feature-173,Feature-174,Feature-175,Feature-176,Feature-177,Feature-178,Feature-179,Feature-180,Feature-181,Feature-182,Feature-183,Feature-184,Feature-185,Feature-186,Feature-187,Feature-188,Feature-189,Feature-190,Feature-191,Feature-192,Feature-193,Feature-194,Feature-195,Feature-196,Feature-197,Feature-198,Feature-199,Feature-200,bandgap
c-TiO2,mp-TiO2,MAPbI3,one-step,spin,diethylether,DMF+DMSO,no,0,2021,13.93,0,1,0,0,1,0,1,0,0,2.828,15.9,16.136,5.007,-5.438,-18.411,-10.472,3.77,9.016,6.617,-2.094,-2.271,6.203,14.386,-11.058,-22.548,7.464,-16.279,-0.65,-21.814,21.341,12.236,23.828,17.57,11.679,-23.548,23.653,-19.929,-22.018,12.304,-9.326,4.801,-4.082,-8.762,-6.911,13.907,-24.878,-22.356,28.179,29.843,8.271,5.265,5.693,17.845,13.806,15.949,29.803,26.459,-25.89,27.722,-5.75,20.693,24.596,-0.8,9.64,-8.889,-0.17,-24.066,-10.512,22.35,2.53,3.806,-17.637,27.541,10.439,7.032,-3.361,16.332,-25.227,-11.333,-5.862,-17.533,-13.633,10.8,27.122,-18.747,-21.272,17.847,2.919,-13.519,21.754,18.49,25.794,-10.364,11.791,-17.458,18.136,28.79,-22.694,-10.898,23.109,8.646,6.262,-29.085,0.137,11.282,12.877,-1.998,9.851,20.94,-20.275,16.668,20.851,-21.666,-15.776,23.591,4.412,9.027,25.966,-8.679,-12.607,-22.406,-4.245,-24.72,2.806,-18.602,3.484,-18.558,-29.548,-22.985,-21.144,-22.303,2.972,21.094,-27.873,12.848,-8.276,22.14,-15.323,14.097,-16.928,-7.267,28.233,-13.126,-4.828,-10.592,-24.353,-27.107,18.807,-16.731,26.384,-10.367,15.465,17.322,-27.568,16.974,1.725,-23.881,1.776,23.812,3.182,-16.986,-4.618,-8.639,11.887,-2.183,-2.906,17.692,2.276,16.826,-3.978,1.232,-23.161,-24.526,-12.486,24.996,19.095,-21.955,-26.531,-24.932,-15.274,-2.202,13.46,28.196,-11.022,-13.297,5.294,7.676,23.6,-15.593,10.919,24.539,-24.491,-22.091,24.603,-13.787,3.287,2.58,-26.12,-19.356,-19.837,-9.309,-26.395,-29.241,-19.178,-6.949,11.032,20.117,-22.147,8.657,7.4
SnO2-A,0,MAPbI3,one-step,spin,no,DMF+DMSO+NMP,PTAA,0,2021,14.1,0,1,0,0,1,0,1,0,0,0.062,0.714,-18.144,12.909,12.493,-2.28,16.055,0.91,7.506,-1.492,19.287,-2.539,-4.609,-29.282,14.846,20.327,15.893,17.731,-3.168,21.672,27.563,7.854,-18.524,-2.023,-1.02,6.49,-1.677,20.664,-8.364,-0.327,-9.326,-6.56,-2.936,23.549,13.307,1.229,13.934,-24.395,9.825,-11.624,-15.79,-11.472,19.439,-14.05,-26.495,-11.293,5.279,-24.914,5.434,-8.84,22.052,-20.863,-23.021,27.229,1.06,5.306,25.522,-28.64,24.823,-2.985,0.785,-0.962,29.9,-28.521,-0.262,6.654,4.765,25.056,-28.562,-13.554,-7.572,-8.147,27.218,1.605,19.078,-29.322,-10.281,-20.404,29.067,19.68,-7.752,12.652,6.96,5.805,-8.942,-21.763,9.98,10.653,15.687,-1.557,-8.073,-24.73,2.054,-29.225,-1.419,-1.756,19.293,26.176,-21.672,0.064,-1.748,-12.878,-26.459,13.07,-1.99,-27.075,29.632,-23.72,12.193,9.315,9.271,-2.708,22.684,-24.694,12.804,-7.389,9.503,-8.412,-7.325,3.076,2.836,-26.45,-12.1,-18.012,17.143,0.725,4.02,3.456,22.4,21.846,-8.368,-16.385,7.337,8.276,17.553,-9.203,-29.806,4.103,15.488,10.413,-6.03,-21.543,1.223,-12.356,-15.298,13.081,11.741,6.512,0.254,22.976,-1.18,-29.101,-6.556,1.223,-21.927,-29.944,-29.394,26.923,-17.049,-28.213,-4.494,14.945,-20.8,-19.62,-27.27,28.708,-4.381,-4.258,-6.017,-21.988,16.64,24.171,6.93,-9.704,3.598,2.979,-6.177,12.841,-0.526,-26.31,-7.363,15.658,5.424,-23.483,-14.855,19.697,15.928,5.073,-8.511,-15.903,15.094,-24.634,8.235,27.252,1.229,8.53,2.58,-11.922,4.151,6.675,7.4
Rhodamine101,PCBM,MAPbI3,one-step,spin2-3,toluene,DMSO+GBL,PEDOT:PSS,0,2021,14.2,0,1,0,0,1,0,1,0,0,24.294,-29.855,-8.203,10.129,-10.384,-16.711,-15.167,2.446,24.681,16.7,-5.447,-21.601,-28.411,21.945,23.372,15.459,7.799,-23.342,19.022,-8.606,-25.582,-28.495,28.265,-15.677,-26.403,-19.517,-22.048,-25.475,-27.739,14.704,-9.31,-23.719,-16.229,-5.906,0.829,-21.257,-19.372,-22.044,16.57,26.898,21.803,25.069,7.972,5.267,12.001,-21.316,-7.561,-21.038,-7.333,28.297,24.945,-29.419,-6.794,-28.788,7.075,-3.718,-10.366,16.256,28.665,14.57,-24.178,-19.589,-0.424,9.212,10.623,13.705,-19.918,26.812,9.164,-10.274,17.207,-26.512,-15.273,3.017,-23.176,-1.591,26.731,-26.397,14.759,29.962,-12.11,26.497,-24.534,-25.479,-27.762,-29.713,-21.985,21.778,26.457,5.375,29.492,21.409,-18.615,-13.666,7.935,-6.555,28.375,29.387,15.537,7.845,-20.286,10.483,-11.054,-29.108,-24.783,18.045,7.06,28.021,-2.871,15.005,19.548,-11.943,-6.084,-24.691,-21.556,23.583,13.556,-20.82,-7.453,-2.865,19.626,-28.961,16.9,-2.993,-19.856,24.283,5.149,4.499,24.06,-9.742,3.986,-26.825,-23.191,-20.853,-4.239,-25.201,20.174,16.077,10.693,-25.396,-15.537,-25.481,13.474,-21.918,19.625,3.507,-27.152,9.703,10.565,25.194,-0.04,8.651,24.029,1.858,27.561,6.288,-28.005,29.355,-17.1,-25.548,-15.987,4.855,-14.747,12.158,22.44,28.459,-12.072,-4.772,-10.688,-29.505,-23.079,25.812,13.216,-19.143,-26.865,26.875,14.273,-27.071,16.795,-6.127,-9.824,23.731,-11.261,-7.02,23.9,21.415,-4.775,-29.363,19.331,-20.245,-10.075,1.027,4.95,-5.911,10.209,-15.282,26.867,-3.44,1.807,-20.021,7.4
TiO2,0,MAPbI3,one-step,spin,chlorobenzene,DMF+DMSO,Spiro-OMeTAD,Li+TBP,2021,14.3,0,1,0,0,1,0,1,0,0,-7.566,18.975,-19.006,-20.312,-8.802,0.05,22.341,3.209,2.843,13.809,-1.422,-14.79,25.384,-11.328,1.965,29.788,14.988,12.75,-18.94,-7.39,-18.965,10.637,-22.834,-27.273,14.955,-9.647,-21.618,-26.599,14.821,19.392,-9.31,-24.288,18.066,-2.983,-22.491,23.495,-2.227,-20.697,12.443,-4.366,6.844,24.318,-15.624,-3.398,-27.841,-2.879,-16.635,14.353,15.449,2.765,18.352,-29.484,-22.933,-24.711,11.221,-27.281,5.217,5.514,-1.291,-22.644,28.801,0.221,-17.228,9.47,2.766,17.112,-27.666,-12.1,-11.752,-4.003,11.465,-21.576,-2.99,16.082,-23.26,-19.225,6.983,-28.973,23.838,15.381,-1.468,-29.305,14.959,-0.509,20.927,17.455,5.256,19.829,4.95,26.305,2.279,-17.049,3.34,29.291,13.803,-10.288,2.639,10.357,4.907,-8.106,5.942,6.024,21.178,-4.251,4.7,23.582,28.847,9.129,1.246,28.342,-12.941,19.497,16.934,-24.426,18.396,-4.436,13.758,12.074,15.104,-0.56,6.061,-0.043,26.259,16.072,15.025,8.977,-3.72,-17.501,-21.016,9.535,28.458,5.951,-10.922,13.909,-18.947,-18.121,-23.43,-21.084,16.821,13.639,19.417,24.092,10.904,-4.797,20.928,13.166,-9.809,28.053,-26.029,-1.417,-25.471,-18.415,-14.288,-8.185,15.532,-6.839,15.124,-18.915,-19.805,7.878,-23.738,20.583,28.315,26.156,9.874,-1.532,19.289,3.848,24.266,28.963,-27.418,18.728,-1.578,-21.048,1.087,-5.595,6.258,25.99,-8.609,4.482,12.987,-19.157,15.528,-19.115,-19.476,-3.631,22.664,16.541,-6.285,12.507,21.292,-1.296,-24.887,20.926,19.424,-15.962,18.969,13.606,-17.883,5.329,7.4
SnO2,ZnO,CsPbI2Br,one-step,spin2-3,no,DMF+DMSO,Spiro-OMeTAD,Li+TBP,2021,14.46,1,0,0,0,1,0,0.666666667,0.333333333,0,-11.717,18.656,-27.761,26.489,-21.225,-0.768,-0.796,-20.197,16.442,14.605,-11.405,-12.642,-11.395,23.885,-0.024,20.932,-18.843,13.81,17.698,-10.035,-18.574,-17.422,-21.403,12.405,14.567,-8.996,-23.227,21.077,-29.169,-7.245,-9.176,-1.278,17.338,25.922,8.306,-23.501,17.614,-9.537,5.858,23.133,-15.308,-25.977,-18.929,29.239,0.667,-21.132,5.511,13.062,19.937,-19.189,24.408,27.685,11.493,-3.094,-1.302,-27.919,-4.317,16.782,16.733,23.228,-22.054,-24.912,28.138,-16.855,26.226,10.91,10.283,-19.582,-20.227,-24.322,-20.575,16.506,-3.204,22.134,28.191,4.223,3.422,-8.872,-3.836,21.235,-15.865,-4.646,20.155,16.979,11.452,-22.779,11.027,16.322,28.277,5.331,-18.989,-28.216,5.007,9.517,22.735,-17.763,-27.948,16.738,-10.494,15.058,-6.003,-22.89,29.675,0.135,20.242,-19.82,8.17,-4.255,17.163,-9.364,-21.016,10.79,-20.038,-24.308,24.074,14.924,10.879,23.43,-25.665,-25.805,19.742,25.155,-17.94,3.418,28.043,-29.084,28.963,-13.629,17.398,-4.92,7.058,-12.704,-16.176,-10.438,3.014,-14.256,-17.287,-2.038,19.753,-25.328,-20.229,9.13,4.719,-11.576,-1.612,-16.199,25.725,15.002,-10.365,-28.199,-13.635,-29.135,-9.006,-20.539,-25.132,-17.054,4.229,-5.636,2.644,-1.59,20.851,-8.695,-8.115,-1.068,-21.799,26.725,-3.763,26.438,-6.919,0.912,-20.684,27.056,14.931,-22.24,-26.804,29.465,14.577,-17.512,-25.655,25.371,-27.034,-17.765,17.206,8.198,19.262,8.535,25.503,11.996,11.322,28.008,-2.351,-15.975,-13.09,13.262,-23.607,-11.349,26.371,14.625,-7.85,-13.698,7.24
b-TiO2,mp-TiO2,MAPbI3,one-step,spin,diethylether,NMP+GBL,Spiro-OMeTAD,Li+TBP,2021,14.56,0,1,0,0,1,0,1,0,0,25.133,-23.957,9.993,-2.705,-29.482,-2.767,-3.767,-13.469,19.159,-20.397,-5.943,-28.567,-16.75,28.742,3.83,-19.471,-14.676,29.496,16.865,-19.182,-28.627,-25.099,-23.376,-0.603,-5.177,23.693,25.009,18.67,6.012,-25.398,-9.068,20.109,7.464,-28.227,1.111,2.857,15.711,-4.033,16.541,-4.019,-5.539,14.122,-27.352,-9.749,6.593,2.517,-28.755,-0.559,-1.05,0.428,26.517,26.593,27.506,-15.671,-23.544,-23.571,8.614,-18.533,-13.353,-3.674,18.551,-16.107,-9.884,-24.701,17.813,2.208,6.63,16.706,-1.551,3.423,28.942,-8.206,-19.369,22.583,1.815,25.193,15.782,-17.354,13.444,13.819,29.472,7.424,-18.625,-9.547,-20.758,-18.111,-29.136,7.093,4.728,-4.199,4.911,6.732,-25.414,9.947,12.778,5.745,-23.503,3.511,-14.83,4.729,-9.254,6.548,-11.939,3.385,-4.748,17.495,9.949,-5.837,18.488,27.289,-25.093,-16.532,26.045,-24.282,16.095,15.737,-0.633,15.201,-9.46,-17.749,2.114,18.134,-4.93,-1.621,-2.006,2.408,-0.937,-26.24,12.659,24.924,26.465,5.938,-16.219,-11.441,-11.404,-22.362,-10.118,4.104,-5.34,12.836,-5.36,-7.341,-10.623,-2.256,-13.684,11.512,21.745,-10.682,20.865,22.096,-18.905,-5.096,10.806,3.627,20.583,3.994,21.524,-4.008,12.773,2.513,6.68,-0.404,-6.561,26.498,-0.687,-18.663,-27.998,-22.344,18.67,18.715,28.305,-6.399,-3.591,14.76,-8.871,-10.524,1.291,-13.788,-3.177,10.71,2.616,9.643,26.679,0.845,-11.393,-19.95,6.655,-7.599,9.92,9.848,0.778,-25.47,-1.214,-17.769,-24.38,28.202,-15.606,-20.5,-20.577,-10.444,7.4
SnO2,C60,Cs0.1FA0.9Pb(I0.94Br0.06)3,one-step,spin2-3,chlorobenzene,DMF+DMSO,NiO,0,2021,14.8,0.1,0,0.9,0,1,0,0.94,0.06,0,5.627,19.62,11.424,4.395,-2.533,8.442,0.495,20.71,-18.866,-26.986,-26.77,7.796,-24.217,8.417,4.845,20.186,21.085,-22.314,16.998,-13.882,4.704,-7.526,-20.475,17.075,-15.608,-29.488,5.558,-15.566,4.938,27.183,-9.068,9.703,-13.962,22.621,21.469,-17.858,18.454,2.368,28.645,-29.701,23.767,-7.677,-24.569,5.146,-29.241,-22.472,14.132,24.148,21.579,29.117,-13.754,-9.891,-12.531,15.499,13.98,1.572,-9.797,5.62,26.686,-28.549,7.11,2.044,16.31,-15.91,-18.131,-24.033,-10.757,-3.534,-5.332,-21.884,3.137,24.961,-7.837,11.619,-19.932,-13.225,-28.303,-14.625,-6.719,-23.378,24.795,-28.591,6.221,9.964,25.099,20.689,-25.453,-26.541,12.208,7.519,-10.385,18.666,-25.488,15.861,4.507,8.271,-29.818,26.518,-22.124,22.657,28.538,12.314,10.951,29.634,-20.748,1.195,0.902,-8.996,-8.203,-11.368,-24.054,-8.973,18.415,-24.179,-20.602,-22.08,9.106,-18.501,10.039,-16.694,27.177,12.541,8.431,24.287,-23.096,21.424,12.734,-12.707,-29.068,-2.184,5.56,-13.61,-25.826,-22.685,-13.089,-3.765,-24.972,-13.27,22.25,28.769,23.541,-12.669,29.808,-18.054,-3.852,-22.215,-11.433,9.038,4.125,-14.805,11.917,6.088,-21.346,20.817,5.711,-12.431,-7.664,-28.279,-28.715,8.52,-25.275,2.857,16.771,-9.045,-5.726,27.266,22.525,13.896,25.078,11.808,-7.35,-2.526,-23.743,-2.551,4.326,-27.241,-15.993,9.627,-28.103,-28.727,-23.454,-2.744,-8.051,18.745,-17.526,-23.887,8.925,-7.059,-20.042,25.682,6,-2.553,14.548,26.596,22.564,19.719,11.777,-9.739,8.569,29.706,10.04
c-TiO2,mp-TiO2,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,one-step,spin2-3,chlorobenzene,DMF+DMSO,Spiro-OMeTAD/MoO3,Li+TBP,2021,14.87,0.05,0.0475,0.9025,0,1,0,0.95,0.05,0,-3.288,-27.293,0.788,8.963,20.057,-22.937,12.907,27.628,19.29,-24.17,-29.941,-20.02,-25.046,21.393,-1.428,-22.147,-3.352,-19.031,-12.689,8.856,2.758,-13.21,24.451,-20.38,-24.649,24.03,-23.391,-18.357,-14.814,-24.348,-9.055,-12.879,19.126,-26.863,-21.182,-17.826,-28.716,-1.319,-19.756,-14.348,-7.337,18.091,-5.198,19.087,25.181,-21.785,-25.843,1.648,5.625,-19.039,12.193,29.891,-14.514,-25.215,-20.845,25.725,17.307,12.724,-20.236,23.208,-9.034,20.047,16.578,23.047,-20.342,15.847,-27.861,-4.309,-11.229,-7.914,8.889,-5.861,19.954,27.515,12.563,-9.909,28.83,-10.214,19.284,22.656,-29.877,9.652,-21.265,21.055,-20.024,-17.162,1.476,-12.617,-12.709,-13.733,-0.05,25.382,1.73,12.288,10.977,19.972,3.105,17.666,-9.759,-14.112,-26.359,-2.123,28.779,22.569,-5.946,20.59,-1.812,-25.576,-6.268,-6.387,-12.413,-10.049,5.533,-23.713,19.5,28.423,4.994,-27.517,-12.114,-9.835,-21.584,20.561,11.525,22.764,-4.747,10.864,13.731,3.498,-4.414,-0.191,13.112,12.972,14.596,-7.434,-21.568,28.499,-24.756,-24.848,28.517,-2.76,-7.67,-10.507,27.993,3.379,2.734,16.188,5.525,3.366,7.571,-1.387,6.698,29.169,-14.262,22.787,16.05,27.367,-20.306,25.816,10.506,23.581,-15.263,-15.085,22.931,18.899,-20.058,-1.341,25.037,-0.009,21.427,-21.552,10.791,-26.323,11.797,10.889,-18.229,-25.519,-13.763,24.759,-13.333,-28.352,-10.588,0.006,-15.784,26.295,-11.104,-25.642,-18.759,-28.309,-12.27,-8.54,6.556,-8.586,19.909,3.444,25.074,-8.589,-0.732,-19.93,14.609,10.415,14.54
BCP,PCBM,FA0.7MA0.3Pb0.5Sn0.5I3,one-step,spin,toluene,DMF+DMSO,PEDOT:PSS,0,2021,14.95,0,0.3,0.7,0,0.5,0.5,1,0,0,19.541,21.241,-10.278,-0.37,-18.429,-0.889,4.394,-19.715,1.787,-6.787,-26.33,-6.322,-24.789,10.956,20.694,-22.739,14.745,16.769,-22.043,10.029,-15.646,-29.379,8.41,26.062,20.347,-8.405,12.412,-13.624,11.121,27.549,-9.047,15.077,-8.331,9.112,1.984,-4.177,-17.201,-11.594,-5.354,20.846,4.307,21.215,8.396,4.656,26.39,-2.308,22.328,-11.543,-11.859,-21.661,4.967,-7.927,27.601,3.948,-21.874,4.085,14.03,-17.092,0.515,-16.429,17.921,-4.458,-4.613,10.13,7.958,19.376,29.342,-8.752,-21.296,-7.37,-6.639,-0.743,-5.245,23.917,25.256,21.993,-29.841,-18.562,5.962,-26.754,-10.902,-11.6,24.349,19.614,17.065,0.931,10.829,-4.291,9.29,24.942,20.871,-4.743,-13.024,-21.592,-12.342,24.979,5.724,19.104,2.221,-25.746,-1.573,17.166,5.492,15.388,-16.093,-25.172,-27.721,-25.705,24.693,-1.148,18.846,9.699,14.249,-23.693,-20.477,-13.115,-16.835,-10.474,-26.134,-20.705,-26.186,-26.458,5.772,10.779,-7.49,8.425,-25.014,-3.737,-21.747,2.015,16.189,10.184,12.14,-21.863,17.677,-2.375,-5.304,26.448,-29.836,-0.477,-23.248,13.117,20.391,21.528,20.011,18.801,-27.887,-23.107,2.207,3.528,7.665,14.242,24.499,-10.317,11.5,28.521,6.664,-29.545,-25.825,5.782,19.086,16.415,10.17,19.151,-25.155,2.24,-3.533,-2.73,-15.133,-29.495,23.493,10.847,-16.249,-13.099,7.82,-17.561,-10.423,-29.761,8.239,-24.321,17.19,25.709,-12.246,-19.693,-16.32,-22.899,20.135,-22.836,0.354,1.045,23.249,15.46,-8.313,-13.689,17.409,-24.348,19.181,-9.97,-0.21,27.556,11.9
BCP,C60,MAPbI3,one-step,spin,no,DMF+DMSO+NMP,PTAA,0,2021,15.11,0,1,0,0,1,0,1,0,0,0.969,-11.24,29.614,23.621,-28.271,27.309,-15.411,14.544,17.414,-17.381,-25.147,-1.702,11.807,14.199,24.014,27.69,-2.536,-18.72,5.182,22.253,18.175,-18.61,-24.838,-0.871,11.752,-25.321,-14.279,14.71,27.81,14.844,-9.047,-17.477,6.374,1.1,4.195,-26.084,-0.936,-17.76,-25.393,-23.951,25.755,-27.645,0.176,-3.41,7.371,19.759,8.173,-13.309,-18.538,-7.824,-8.173,-20.057,25.01,4.668,1.008,18.59,3.578,-4.657,29.461,-22.53,4.99,-28.007,-18.701,-27.843,-19.685,-6.575,-17.04,6.413,17.225,13.823,-14.608,18.703,9.701,-8.493,-16.379,28.893,-1.994,-24.085,26.294,27.077,-21.981,-23.632,19.113,-27.954,27.157,9.875,22.058,12.706,-12.346,-11.153,16.074,-26.006,26.169,-1.292,13.668,6.673,-1.481,5.084,-28.794,16.444,-0.093,10.718,28.788,22.42,-19.19,-28.338,-16.783,-10.013,-16.879,-21.438,-16.53,29.17,-26.751,-23.641,12.218,4.375,11.023,18.558,17.836,-22.519,16.969,-20.085,-10.441,-15.654,14.153,8.848,23.08,-5.947,-29.934,-12.627,22.206,10.449,17.024,-20.705,-2.11,-9.401,13.964,-14.717,12.665,-4.641,25.88,26.132,-23.768,20.346,28.117,13.677,-21.811,-8.937,15.301,29.148,15.062,0.62,-6.643,-1.004,-13.559,15.79,-17.483,-8.369,25.644,-18.816,24.477,-11.027,29.372,15.527,18.316,20.573,-26.135,1.949,22.686,3.936,-0.489,7.686,-15.989,10.28,11.711,28.645,-18.775,-22.063,-7.783,10.812,23.953,29.807,21.128,4.126,-3.373,15.357,-22.48,27.301,-7.046,-17.858,3.126,-14.682,7.407,-4.886,-18.394,17.611,-19.324,-7.324,-5.265,-1.47,7.4
DMF-SnO2,0,(FAPbI3)0.85(MAPbBr3)0.15,one-step,spin2-3,chlorobenzene,DMF+DMSO,Spiro-OMeTAD,Li+TBP,2021,15.27,0,0.15,0.85,0,1,0,0.85,0.15,0,-13.218,3.917,13.547,9.175,18.976,-2.039,8.276,-5.288,21.119,26.765,23.669,-22.842,-9.922,12.815,16.309,14.366,17.302,-22.777,-10.027,-14.292,12.415,-24.921,-24.156,-13.504,20.358,-20.759,7.915,6.848,-11.517,19.499,-9.038,22.775,-15.236,2.04,20.098,-1.023,-28.394,2.284,2.793,22.01,-1.014,-29.503,-29.897,-29.553,9,-8.675,-17.47,26.647,-26.466,24.146,-2.777,2.307,-20.205,-3.225,3.266,9.631,-9.981,23.421,-21.658,29.762,-4.928,2.701,-11.888,-29.634,-10.728,18.195,-18.983,-26.968,25.927,-18.749,22.544,0.299,-26.558,18.068,11.636,-21.121,1.172,-23.791,-17.104,11.132,-29.708,-19.071,-0.757,26.679,17.147,-12.759,-26.508,28.692,2.849,24.757,-26.481,18.861,10.959,20.266,9.385,-29.605,29.777,-21.809,7.844,-12.873,20.633,16.595,-16.624,-18.06,8.983,-1.99,-19.233,25.739,-24.662,-1.921,28.649,24.88,2.411,-23.619,-28.915,23.176,19.381,-21.846,-15.475,-10.238,26.586,-22.054,0.891,-2.023,25.242,-17.382,6.808,16.569,-20.976,12.83,-26.164,5.324,-4.459,-3.521,23.91,-0.936,-25.658,-9.451,27.362,-5.223,14.08,-3.823,-14.985,0.305,-28.304,20.669,-18.043,-9.457,27.161,-2.805,28.412,15.922,-6.764,-16.566,-14.333,-13.332,24.316,-18.517,-29.575,-22.672,6.374,6.736,-10.786,25.775,-11.972,-29.125,14.438,7.696,9.23,-13.506,29.257,-11.988,-27.734,-8.189,23.337,-2.835,-29.604,-3.989,18.165,8.487,-7.662,3.322,-23.536,23.932,20.131,12.891,-4.044,12.393,14.237,6.487,-18.988,24.31,-8.955,26.07,11.815,29.798,0.103,-27.575,28.675,13.163,13.5
TiO2,SnO2,CsPbI2Br,one-step,spin,chlorobenzene,DMSO,Spiro-OMeTAD/MoO3,Li+TBP,2021,15.35,1,0,0,0,1,0,0.666666667,0.333333333,0,-18.618,21.805,8.56,-2.378,-25.113,-28.962,-9.429,6.863,14.624,-2.193,-24.767,-0.258,-12.487,-7.192,26.085,19.468,-11.434,0.693,-28.976,-22.389,8.037,-10.409,-0.791,-0.376,21.308,-12.565,-28.714,-15.746,-0.853,-10.021,-9.038,-29.455,21.485,21.667,-16.984,4.643,18.339,-13.16,-0.288,-7.28,-22.291,21.465,21.202,20.065,9.807,-9.662,10.171,-18.527,0.918,19.29,13.229,-18.365,-15.515,-22.122,3.33,5.845,-7.774,-18.139,14.626,-20.756,-18.181,7.006,23.485,-7.587,-2.276,-9.567,2.237,11.044,-28.068,-18.695,-28.647,-1.593,13.75,-1.578,-16.255,14.131,24.606,22.006,24.902,16.704,20.552,-7.544,12.295,10.921,-21.538,-2.016,12.945,-18.32,-15.814,10.837,1.098,20.021,7.794,-3.417,16.972,-0.279,-8.754,-19.63,8.861,-24.969,25.912,-26.467,10.035,10.739,13.169,-2.152,-13.388,28.925,-22.366,-10.723,-15.772,11.038,22.82,-23.53,27.369,-3.676,-3.72,25.06,-18.573,-2.505,-8.455,-17.668,20.964,-21.058,-0.015,22.326,-7.434,9.142,-23.743,-21.872,2.202,-7.746,-21.102,-13.24,-19.559,4.008,-4.593,-12.619,-6.543,-8.851,10.794,-10.543,-16.781,-1.482,-6.17,-10.015,2.605,7.556,4.034,-8.56,-8.888,6.246,19.77,-15.05,26.315,-9.447,5.762,17.499,-6.588,9.381,-13.381,-15.244,-19.544,-17.628,-18.612,-21.54,-23.619,27.1,19.138,25.866,2.664,-26.338,-13.802,-3.088,20.659,-1.021,12.811,-22.757,-4.854,-15.854,22.561,-4.793,0.753,-25.764,-21.773,23.711,0.636,-26.725,-10.247,16.179,4.678,-24.515,-0.752,9.554,21.004,24.464,27.457,-9.794,-19.82,-24.941,7.24
